	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
230	SJR Vogue Residences	SJR PrimeCorp	Whitefield Hope Farm Junction	Under Construction	SJR Primecorp Vogue Residences is a luxury apartment project in Whitefield Hope Farm Junction, Bangalaru. This is best option for those who look for luxury lining in the suburbs. Its having amenities like Power Backup, Indoor Games, Landscaped Gardens, 24 X 7 Security personal, Club House, Swimming Pool, Multipurpose Room, Gymnasium, Spa, Jacuzzi, Tennis Court and Kids Pool Deck.It is near to Bangalore IT hub and Bangalore city is just 15 KM away. The nearest connecting road to the city is the famous Green Fields Road. This area is surrounding by shopping malls, hospitals, banks, schools, railway station and bus station making it best for residential purpose.	Possession date: Dec'18	2632 sq ft(4BHK+4T + Study Room)	4 BHK	1,730 - 2,632 sq ft	₹ 1.02 Cr - ₹ 1.55 Cr	3, 4 BHK	140	RERA ID: PR/KN/170811/001157
231	GK Tropical Springs	GK Shelters	Whitefield Hope Farm Junction	Under Construction	In construction industry around the country with a commitment to excellence in service we deliver projects in a manner that reflects the values of clients. Introducing Tropical Springs a BBMP approved well planned 2/3 BHK Residential Apartments is located at White field next to ITPL Tropical Springs is designed as the perfect place for modern living, Combining quality and value with attention to detail and contemporary design. Tropical Springs is a striking architectural development of total 246 units.	Possession date: Sep'18	1650 sq ft(3BHK+3T)	3 BHK	1,119 - 1,650 sq ft	₹ 39.16 L - ₹ 57.75 L	2, 3 BHK	151	RERA ID: PR/KN/170823/001418
232	Vaswani Exquisite	Vaswani Group	Whitefield Hope Farm Junction	Under Construction	Vaswani has launched its premium housing project, Exquisite, in Whitefield Hope Farm Junction, Bangalore. The project offers 3, 4 BHK Apartment from 1735 sqft to 2850 sqft in Whitefield. Among the many luxurious amenities that the project hosts are Sauna, Steam, Convenience Store, Spa With Massage Room , Squash Court, Video Door Phone etc. Starting at @Rs 6,190 per sqft,Apartment are available for sale from Rs 1.07 crore to Rs 1.76 crore. Vaswani Exquisite is Under Construction project and possession in Dec 20.	Possession date: Dec'20	2850 sq ft(4BHK+4T + Servant Room)	4 BHK	1,820 - 2,850 sq ft	₹ 1.13 Cr - ₹ 1.76 Cr	3, 4 BHK	420	RERA ID: PR/KN/170731/000784
233	SV SV Legacy	SV Constructions Bangalore	Whitefield Hope Farm Junction	Under Construction	Located in Whitefield Hope Farm Junction, Bangalore, SV Legacy is a premium housing project launched by SV Constructions Bangalore. The project offers Apartment in 1, 2, 3 BHK configurations available from 821 sqft to 1473 sqft. These units in Whitefield, are available at an attractive price points starting at @Rs 4,999 per sqft and will be available to buyers at a starting price of Rs 41.04 lacs. The project is Under Construction project and possession in Sep 19. SV Legacy has many amenities, such as ATM, Wi-Fi Connectivity, Swimming Pool, Lift Available, Table Tennis And Tennis Court etc.	Possession date: Sep'19	1473 sq ft(3BHK+3T)	3 BHK	821 - 1,473 sq ft	₹ 37.77 L - ₹ 67.76 L	1, 2, 3 BHK	270	RERA ID: PR/KN/170731/000670
234	United Elysium 2	United Developers	Whitefield Hope Farm Junction	Under Construction		Possession date: Mar'19	1563 sq ft(3BHK+2T)	3 BHK	1,010 - 1,563 sq ft	₹ 37.37 L - ₹ 57.83 L	2, 3 BHK	216	
235	Total Environment Pursuit of a Radical Rhapsody Apartment	Total Environment	Whitefield Hope Farm Junction	Under Construction	Pursuit of a Radical Rhapsody Apartment is located on the  main road next to the lake at Hoodi. Homeowners here will have an expansive view of the lake and surrounding greenery. The apartment blocks have been positioned along the profile of the lake forming a crescent that offers ample landscaped space between the lake and apartments. The project location possesses the dual advantage of being nestled within a secluded and tranquil part of , yet being close to downtown . Whitefielt global culture and conveniences makes it the perfect neighbourhood. Its identity as India IT hub has resulted in international schools, hospitals, shopping malls, multiplexes etc. The upcoming Bangalore Metro Service phase II extension till  will offer residents rapid mass transit facilities to all parts of .	Possession date: Sep'19	6295 sq ft(4BHK+4T)	4 BHK	2,125 - 6,295 sq ft	₹ 1.69 Cr - ₹ 5.01 Cr	3, 4 BHK	302	RERA ID: PR/KN/170731/000433
236	Sowparnika The Columns	Sowparnika Projects	Whitefield Hope Farm Junction	Under Construction		Possession date: Dec'20	1412 sq ft(3BHK+3T)	3 BHK	330 - 1,412 sq ft	₹ 10.56 L - ₹ 45.17 L	1, 2, 3 BHK	360	
237	Goyal Orchid Whitefield	Goyal and Co Hariyana Group	Whitefield Hope Farm Junction	Under Construction	Whitefield Hope Farm Junction region of Bengaluru has an availability of nice and comfy apartments, which is built by the Goyal and Co and Hariyana Group Orchid Whitefield real Estate Company. The neighbourhood is well settled with facilities like high schools, bank, ATM, commercial complex, primary schools, ATMs, hospitals, bus stations, petrol pump, railway station, office complex, restaurants, metro station, parks etc. all are present near at hand. The total numbers of apartments provided by this project are many and they are all in an under construction stage. The price of the apartments is based on the request value. The amenities offered by this project are gym, club house, and playground for children, sports facility, multipurpose room and much more.	Possession date: Dec'20	1659 sq ft(3BHK+3T)	3 BHK	524 - 1,659 sq ft	Price on request	1, 2, 3 BHK	492	RERA ID: PR/KN/170730/000402
238	Soundarya Paradise	Soundarya Constructions	Yeshwantpur	Under Construction	Soundarya Constructions Paradise is situated in Yeshwantpur, Bangalore. The residential complex has 2 and 3BHK flats on offer which have carpet areas between 1045 and 1470 sq. ft. The flats up for sale number 97 and are available via resale and the builder. The properties are under construction currently. A plethora of facilities are offered in the community, including gymnasium, rainwater harvesting, kids’ play area, jogging track, club house and landscaped gardens. Yeshwantpur is a part of north Bangalore and is situated by the Tumkur Road. It has several companies such as BHEL and HMT in the vicinity. Some of the areas dotting its boundaries are Bel Road, Kamagondana, Gangamma Circle. BMTC buses ply through here which connect it to areas such as Hebbal.	Possession date: Nov'18	1685 sq ft(3BHK+3T)	3 BHK	1,030 - 1,685 sq ft	₹ 51.50 L - ₹ 84.25 L	2, 3 BHK	97	RERA ID: PR/KN/171010/002211
239	Prestige Dolce Vita	Prestige Group	Whitefield Hope Farm Junction	Launch	The Prestige Dolce Vita has built up their excellent project in the Whitefield Hope Farm Junction region of Bengaluru. This organization offers great plots. The locality is well settled with all kinds of facilities available within a kilometre. There are hospitals, banking, ATM, petrol pumps, bus stations, schools, play schools, restaurants, park, metro station etc. The project offers many amenities like a security system, a power back up, a garden and much more. The entire project is all set for moving in. The surrounding of the project is well occupied with a naturist value.	Possession date: Nov'20	1924 sq ft(3BHK+3T)	3 BHK	1,267 - 1,924 sq ft	₹ 75.39 L - ₹ 1.14 Cr	2, 3 BHK	66	RERA ID: PR/KN/170905/002015
240	Vikram Crescent	Vikram Structures Pvt Ltd	Yeshwantpur	On Hold	Yeshwantpur in Bengaluru is a growing region which has many projects going on. The Vikram Structures Pvt Ltd Crescent Company is offering premium apartments in this region in a project which is still under construction. There are many facilities nearby this area like banks, ATMs, restaurants, petrol pumps, shopping mall, higher education facilities, commercial complex, hospitals, parks, schools, play schools, office complexes, bus stations, and much more. The area is also well accessible from all the parts of the city. Other amenities like intercom services, power back up system, and a childrens a playground is also provided by the project. The price of the apartments is based on the request value.	Possession date: May'19	1396 sq ft(1BHK+1T)	1 BHK	538 - 1,396 sq ft	₹ 49.50 L - ₹ 1.28 Cr	1 BHK	105	
241	Prestige Fontaine Bleau	Prestige Group	Whitefield Hope Farm Junction	Launch	Prestige Fontaine Bleau real estate association has amazed the market by building the best housing place in Bengaluru. This organization is offering premium apartments of best quality. These apartments are all set for moving in purpose. The amenities offered by this company and housing complex are a playground for the children, a garden, 24 hours security, a car parking and much more. The location has the benefit of other services like hospitals, bankings, ATM, petrol pumps, bus stations, schools, rail stations, restaurants, play schools etc. at a very short distance.	Possession date: Nov'20	1603 sq ft(3BHK+3T)	3 BHK	862 - 1,603 sq ft	₹ 50.86 L - ₹ 94.58 L	1, 2, 3 BHK	60	RERA ID: PR/KN/170905/002017
242	Esteem Altitude	Esteem	Yeshwantpur	On Hold	Esteem Altitude offers 2 and 3 BHK luxury apartments in Yeshwantpur, Bangalore. This residential venture is launched by the Esteem Group, which is established in the year 1995. It is an emerging Bangalore based real estate developer that includes development of residential and commercial properties in its portfolio. Esteem Altitude has several restaurants, metro station, mall, educational institutions and hospitals within a walking distance. Esteem Altitude is loaded with a range of amenities within the premises including gymnasium, swimming pool, children's play area, club house, multipurpose room, rain water harvesting, intercom, landscaped gardens, indoor games and more.	Possession date: May'18	1975 sq ft(3BHK+4T + Study Room)	3 BHK	1,100 - 1,975 sq ft	₹ 73.70 L - ₹ 1.32 Cr	2, 3 BHK	100	
243	RNS Shrinikethan	RNS	Yeshwantpur	Under Construction		Possession date: Jun'19	3600 sq ft(4BHK+5T + Servant Room)	4 BHK	2,800 - 3,600 sq ft	₹ 2.38 Cr - ₹ 3.24 Cr	3, 4 BHK	108	RERA ID: PR/KN/170808/001215
244	Jain Grand West	Jain Heights	Yeshwantpur	Under Construction		Possession date: Mar'20	3396 sq ft(4BHK+4T)	4 BHK	1,313 - 3,396 sq ft	₹ 1.09 Cr - ₹ 2.58 Cr	2, 3, 4 BHK	182	
245	Pratham Indraprastha	Pratham Constructions	Yeshwantpur	Under Construction	Yashwantpur is situated in Bengaluru which is developing into a real estate region. The Pratham Constructions Indraprastha group is offering premium apartments. The project is all set for moving in. The project delivers other amenities like a gym, a playground for children, an intercom service, and a 24 hours power back up services along with a facility of car parking for each apartment. The neighbourhood of the project is has all requirements like a play schools, ATMs, banks, parks, metro stations, office complexes, restaurants etc. The price of the apartments is based on the request value.	Possession date: Dec'18	1655 sq ft(3BHK+3T)	3 BHK	1,250 - 1,655 sq ft	₹ 81.25 L - ₹ 1.08 Cr	2, 3 BHK	253	
246	Golden CNTC The Presidential Tower	Golden CNTC	Yeshwantpur	Under Construction	The Presidential Tower is a landmark residential project offering 3 and 4 BHK apartments of the Golden CNTC The Presidential Tower is being set up at the Yeshwantpur which is situated in Bangalore. This project offers apartments of varying sizes and prices catering to the varying needs and preferences of clients. The neighbourhood has all the necessary destinations like school, hospital, metro station, petrol pump, hospital, bank, ATM, market, bus stand, office complex, park etc. The total number of apartments offered by this project is plenty in number. The other modern day facilities offered by this project are gym, swimming pool, intercom services, a club house, a playground area and much more.	Possession date: Jun'21	5250 sq ft(4BHK+4T)	4 BHK	1,595 - 5,250 sq ft	₹ 2.15 Cr - ₹ 9.45 Cr	3, 4 BHK	368	RERA ID: PR/KN/170731/000565
247	Deccan Habitat	Deccan	Yeshwantpur	Pre Launch	Deccan has launched its premium housing project, Habitat, in Yeshwantpur, Bangalore. The project offers 2, 3, 4 BHK Apartment from 1100 sqft to 2000 sqft in Bangalore West. Among the many luxurious amenities that the project hosts are Organic Garden & Dry Stone Garden, Pool Table & Table Tennis, Gymnasium, Re Energize, Guest Area etc. Starting at @Rs 6,693 per sqft,Apartment are available for sale from Rs 73.33 lacs to Rs 1.40 crore. Deccan Habitat is Pre Launch project and possession in Dec 19.	Possession date: Dec'19	2000 sq ft(4BHK+4T)	4 BHK	1,100 - 2,000 sq ft	₹ 73.33 L - ₹ 1.40 Cr	2, 3, 4 BHK	132	
248	CoEvolve Northern Star	CoEvolve Estates	Jakkur	Under Construction		Possession date: Dec'19	1785 sq ft(3BHK+3T)	3 BHK	636 - 1,785 sq ft	₹ 27.98 L - ₹ 78.52 L	1, 2, 3 BHK	130	RERA ID: PR/KN/170729/000151
249	Legacy Cirocco	Legacy Global Project	Jakkur	Under Construction	The Legacy Group presents Cirocco, a housing community in Jakkur, Bangalore. It has 3 and 4BHK apartments, the property is under construction and the units can be bought from the builder directly. Covering an expanse of 1.89 acer, the community has amenities on offer that include a gymnasium, swimming pool, multipurpose room, children’s play area and rainwater harvesting. Each unit has intercom services enabled within.The Legacy Group is one of the prominent real estate developers of Bangalore, having worked on seventeen projects. Eleven of their projects are under construction currently. Some of the areas where their projects are located include Yelahanka and Vasanth Nagar. Jakkur is a developing locality of North Bangalore and is near Nehru Nagar, Agrahara and Dasarahalli. The Manyata Tech Park is at a distance of 7.6 kilometres from here and Kirloskar Business Park is3.1 kilometres away. The City Railway Station is 35 kilometres away while railway station at Kodigehalli is at a distance of 4.5 kilometres from here.	Possession date: Dec'18	5850 sq ft(4BHK+4T + Servant Room)	4 BHK	4,150 - 5,850 sq ft	₹ 3.73 Cr - ₹ 5.26 Cr	3, 4 BHK	94	RERA ID: PR/KN/170731/000900
250	Century Ethos	Century Real Estate	Jakkur	Under Construction	Century Ethos is a housing property in Bangalor Jakkur. The community has 3 and 4BHK apartments. The units on sale are available through the developer. There are numerous amenities that home buyers can use such as swimming pool, gymnasium, club house, childrens play zone and round the clock security services. Founded in 1973, the Century Group has worked on thirty projects spread across Bangalore. Twelve of their properties are under construction. Some of them are in Kodigehalli and Jakkur. Jakkur is located 12.2 kilometers from the Bangalore City Railway Station. It is surrounded by areas such as Kempapura and Vidyaranyapura.	Possession date: Dec'20	5145 sq ft(4BHK+4T)	4 BHK	2,800 - 5,145 sq ft	₹ 2.66 Cr - ₹ 4.89 Cr	3, 4 BHK	375	RERA ID: PR/KN/170729/000283
251	Century Breeze	Century Real Estate	Jakkur	Under Construction	A premium housing project launched by Century, Breeze in Jakkur, Bangalore is offering Apartment starting at Rs 70.35 lacs. It offers 2, 3 BHK Apartment in Bangalore North. The project is Under Construction project and possession in Dec 17. Among the many luxurious amenities that the project boasts are Rain Water Harvesting, Swimming Pool, Lounge/Reception, Amphithreatre, Badminton Court etc. The Apartment are available from 1279 sqft to 2526 sqft at an attractive price points starting at @Rs 5,500 per sqft.	Possession date: Dec'19	2526 sq ft(3BHK+3T + Study Room)	3 BHK	1,279 - 2,526 sq ft	₹ 70.34 L - ₹ 1.39 Cr	2, 3 BHK	322	RERA ID: PR/KN/170729/000324
252	Arvind Skylands	Arvind Infrastructure	Jakkur	Under Construction		Possession date: Dec'20	1600 sq ft(3BHK+3T)	3 BHK	1,057 - 1,600 sq ft	₹ 42.27 L - ₹ 63.98 L	2, 3 BHK	339	RERA ID: PR/KN/170731/000771
253	Brigade Northridge	Brigade Group	Jakkur	Under Construction	Brigade Northridge, Bangalore, comes with 2 and 3 BHK apartments. Projects spreads over an area of seven acres. Key amenities offered to buyers in this project include a gymnasium, 24-hour security services, playing zone for kids, landscaped gardens, clubhouse, swimming pool, cafeteria, indoor game facilities, intercom facilities, jogging track, fitness centre, broadband internet connectivity and basketball court. Added amenities include a tennis court, Vastu compliant architectural layouts, badminton court, squash court, table tennis facilities, community hall and party lawn. Located at Jakkur, the project is well linked to the Manyata Tech Park and Kirloskar Business Park.	Possession started from: Jul'17	1930 sq ft(3BHK+3T)	3 BHK	1,230 - 1,930 sq ft	₹ 67.53 L - ₹ 1.06 Cr	2, 3 BHK	503	
254	Sobha HRC Pristine	Sobha Limited	Jakkur	Launch		Possession date: Mar'21	4118 sq ft(4BHK+4T)	4 BHK	1,819 - 4,118 sq ft	₹ 1.60 Cr - ₹ 6.45 Cr	3, 4 BHK	381	RERA ID: PR/KN/171027/002276
255	Milestone Grand	Milestone Builders	Jigani	Under Construction	Located in Jigani, Bangalore, Grand is a premium housing project launched by Milestone Builders. The project offers Apartment in 1, 2, 3 BHK configurations available from 664 sqft to 1491 sqft. These units in Bangalore South, are available at an attractive price points starting at @Rs 3,200 per sqft and will be available to buyers at a starting price of Rs 21.25 lacs. The project is Under Construction project and possession in Dec 17. Grand has many amenities, such as Sports Facility, Children's play area, Swimming Pool, Fire Safety, Power Backup etc.	Possession date: Oct'18	1491 sq ft(3BHK+3T)	3 BHK	664 - 1,491 sq ft	₹ 21.25 L - ₹ 47.71 L	1, 2, 3 BHK	80	
256	B And B Infrastructure The Spire	B And B Infrastructure	Jayanagar	Under Construction		Possession date: Dec'19	3995 sq ft(4BHK+5T + Servant Room)	4 BHK	3,150 - 3,995 sq ft	₹ 3.46 Cr - ₹ 4.39 Cr	3, 4 BHK	86	
257	NR Windgates	NR Greenwood Constructions	Jakkur	Under Construction		Possession date: Dec'18	1570 sq ft(3BHK+3T   Pooja Room)	3 BHK	497 - 1,570 sq ft	₹ 18.64 L - ₹ 58.88 L	1, 2, 3 BHK	279	RERA ID: PR/KN/170729/000322
258	TCH Sonavi Residency	TCH	Whitefield Hope Farm Junction	On Hold		Possession date: Dec'19	900 sq ft(2BHK+1T)	2 BHK	900 sq ft	₹ 24.30 L	2 BHK	271	
259	DS Splendor Homes	DS Max Properties	Hesaraghatta	Under Construction		Possession date: Jun'19	1026 sq ft(2BHK+2T)	2 BHK	952 - 1,026 sq ft	₹ 27.61 L - ₹ 29.75 L	2 BHK	35	
260	Mayur Signature	Mayur	Whitefield Hope Farm Junction	On Hold		Possession started from: Apr'15	2365 sq ft(4BHK+3T)	4 BHK	895 - 2,365 sq ft	₹ 41.99 L	1, 2, 3, 4 BHK	68	
261	DNA Opus	DNA Infrastructure	Whitefield Hope Farm Junction	On Hold	DNA Infrastructure has launched its premium housing project, Opus, in Whitefield Hope Farm Junction, Bangalore. The project offers 2 BHK Apartment from 1157 sqft to 1320 sqft in Whitefield. Among the many luxurious amenities that the project hosts are Exclusive Gated Community, Car Parking, Squash, Swimming Pool, Health Club etc. Starting at @Rs 4,350 per sqft,Apartment are available for sale from Rs 50.33 lacs to Rs 57.42 lacs. DNA Infrastructure Opus is Pre Launch project and possession in Sep 18.	Possession date: Sep'18	1320 sq ft(2BHK+2T)	2 BHK	1,157 - 1,320 sq ft	₹ 50.33 L - ₹ 57.42 L	2 BHK	60	
262	Keerthana Sai Keerthana Sarovar	Sai Keerthana Developers	Whitefield Hope Farm Junction	On Hold	A serene lake setting and an urban living environment are the core highlights of Sai Keerthana Sarovar, Bangalore. Constructed by Sai Keerthana Developers, a company known for developing contemporary projects, Sai Keerthana Sarovar is located in Whitefield, Hope Farm Junction. The project covers a total area of 1.1 acres and offers 124 units. The 2 and 3-BHK apartments offered are available at a price range starting from 30.9 lacs. With the objective of providing quality-living to its buyers, Sai Keerthana Sarovar provides world-class amenities like multi-purpose hall, gymnasium, jogging track, club house, and landscaped gardens. Each apartment is fitted with 3 Track Powder aluminum windows with safety grills offering you a reliable security option.	Possession started from: Dec'17	1300 sq ft(3BHK+2T)	3 BHK	800 - 1,300 sq ft	₹ 23.20 L - ₹ 37.70 L	2, 3 BHK	124	
263	Blaze Sunshine Blossom	Blaze	Jakkur	On Hold	There is an availability of magnificent apartments in the Thannisandra region of Bengaluru. These apartments are the project of Blaze Group Sunshine Blossom organization and they are all set for moving in. All the necessities like restaurant, play school, bus station, train station, hospital, bank, ATM, petrol pump all these are available in the neighbourhood. The other different amenities provided by the project is a well maintained system for intercom facility which is provided to each and every apartment camera footage security services, playground, a parking facility which is set in the basement of the buildings, power backup system and much more. The price of the apartments is also depended on request value.	Possession date: Sep'18	1850 sq ft(3BHK+3T)	3 BHK	1,121 - 1,850 sq ft	₹ 52.69 L - ₹ 86.95 L	2, 3 BHK	256	
264	Insight Brindavana	Insight	Jakkur	On Hold	"""Insight BRINDAVANA"" located in north Bangalore. It it is well connected to the city express ways and roads. It consists of 2 blocks of residential units separated by a landscape buffer with a swimming pool, There are 76 flats. which are architecturally designed, elegant ,spacious and as per vaastu standards. ""insight BRINDAVANA"" s amenities include a multi-purpose hall, children's play area,swimming pool, joggers track and a community garden along with ultra modern security arrangements and DG power back up."	Possession started from: Nov'17	2065 sq ft(4BHK+3T)	4 BHK	1,022 - 2,065 sq ft	₹ 38.33 L - ₹ 77.44 L	2, 3, 4 BHK	76	
265	DS Spark Nest	DS Max Properties	Jakkur	Under Construction	The construction company named DS Max Spark Nest is offering apartment of great quality and luxury in in Jakkur region of Bengaluru. The project is in an under construction stage. Different necessities like schools, banks, hospitals, petrol pumps, bus stations, restaurants, parks, ATMs, metro stations, etc. all are present near the project’s premises. This project has many facilities like a gym, rainwater harvesting system, playground for children, a jogging track, 24x7 security services, power backup etc., and it offers luxurious accommodation spaces. The price of the apartment is based on request.	Possession date: May'19	1615 sq ft(3BHK+3T)	3 BHK	834 - 1,615 sq ft	₹ 27.27 L	2, 3 BHK	116	RERA ID: PR/KN/170830/001594
266	Chinthala Green Homes	Chinthala	Whitefield Hope Farm Junction	On Hold	Chinthala Group comes with Green Homes, a housing community on Whitefield Hope Farm Junction, Bangalore. The community has 3 and 4 BHK apartments on offer which are priced between Rs 1.1 and 1.13 crore. The community has 30 units available for the investors and the home seekers to choose from. These units are sold by the builder. The apartments are spacious as they cover an area over 2135 to 2700 sq. ft. The total area of the property is 4.4 acres which houses not only the dwelling units but also amenities such as badminton and squash court, indoor games room and swimming pool. Known as the location of Sathya Sai Baba Ashram, Whitefield has become an employment hub where companies such as Dell and Wipro are located. The area is connected to different parts of Bangalore through the Outer Ring Road and Old Madras Road. The Kempegowda International Airport is at 44.8 kilometres while the Namma Metro has been proposed to be extended to Whitefield from Byappanahalli along the purple line. There are several schools in the area including Whitefield Global School and VIBGYOR International School. The area is served by Mayo Heart Hospital and Vydehi Hospital.	Possession date: Jun'18	2700 sq ft(4BHK+4T)	4 BHK	2,135 - 2,700 sq ft	₹ 85.40 L - ₹ 1.08 Cr	3, 4 BHK	30	
267	Radiant Royal Woods	Radiant Structures	Whitefield Hope Farm Junction	On Hold		Possession started from: Dec'17	1375 sq ft(3BHK+3T)	3 BHK	820 - 1,375 sq ft	₹ 24.60 L - ₹ 41.25 L	2, 3 BHK	192	
268	NCN Diamond	NCN	Jakkur	Under Construction	Jakkur region of Bangalore is one of the popular areas because of the real estate projects. One of them is the NCN Developers Diamond Residency project which is delivering apartments of great value and quality. The region where this project is available is well acquainted by restaurant, bus station, atm, bank, train station, park, school, petrol pump, hospital, etc. The apartments are well engrossed with different quality materials and granite set kitchens. The different amenities offered by this project are playground for children, 24 hours security, excellent fire and safety system, a power back up system and much more. The project is all set for moving in purpose.	Possession date: Aug'19	1560 sq ft(3BHK+2T + Pooja Room)	3 BHK	995 - 1,560 sq ft	₹ 36.81 L - ₹ 57.72 L	2, 3 BHK	48	RERA ID: PR/KN/170830/001636
269	GCN Brindavanam	GCN	Whitefield Hope Farm Junction	Under Construction	GCN Brindavanam Bangalore is an upcoming residential project to be launched soon in the Whitefield locality of the city. The project will be featuring 2 and 3 bedroomed apartments in innovative and contemporary design styles that are assured to please modern day families and meet their expectations. GCN Brindavanam prices, size of apartments and floor plans can be availed on request. Interested buyers can purchase homes directly from the builder only. GCN Brindavanam residents will have access to a range of modern day amenities and facilities such as a gymnasium, swimming pool, intercom facilities, 24x7 security, children's play area, jogging track, rainwater harvesting, power backup, banquet hall with open lawn, indoor games facility etc. These vaastu friendly apartments are set amidst beautifully landscaped gardens the project also lies in close proximity to several commercial and civic establishments such as schools, shopping malls, banks, hospitals, entertainment centres, ATM etc. for easy access on a daily basis.	Possession date: Dec'18	1450 sq ft(3BHK+3T)	3 BHK	1,150 - 1,450 sq ft	₹ 40.25 L - ₹ 50.75 L	2, 3 BHK	130	RERA ID: PR/KN/170807/001164
270	Umiya Woods	Umiya Group	Whitefield Hope Farm Junction	Under Construction	Headquartered in Bangalore, Umiya set up base in 2000 and expanded to Goa in 2007. Since inception, Umiya has always strived to deliver quality and robust engineering coupled with uncompromising business ethics and transparency in business conduct.A tranquil haven in a bustling Bangalore. Where time runs a little slower, because everything you need is a little closer. Where you live, laugh and play a little longer, a home that is specially made so love grows stronger. Umiya Woods brings you the best of both worlds. With ITPL being within 2 km from home, you can combine the ease of city life with the peace of living in a natural environment. The time you save on traveling can be used to do all the things that make you truly happy. It is ideally located to maximize the benefits of contemporary living while keeping up with corporate life. Umiya Woods gives you meticulously designed two and three BHK apartments of unparalleled value with all the amenities to make life as comfortable as possible.	Possession date: Sep'18	2235 sq ft(3BHK+4T + Servant Room)	3 BHK	1,225 - 2,235 sq ft	₹ 61.25 L - ₹ 1.12 Cr	2, 3 BHK	96	
271	Krishna Brighton	Krishna Enterprises	Yelahanka	On Hold	Krishna Brighton is located in the heart of North Bangalore, i.e. Yelahanka. It is the newest housing project by the renowned real estate firm, Krishna Enterprises featuring spacious 3 and 4 BHK apartments across an area of 1.08 acres. The residential project is well equipped with amenities within the premises including gymnasium, swimming pool, children's play area, club house, multipurpose room, intercom, 24 x 7 security, party deck, power backup, landscaped gardens, indoor games , car parking, kid’s pool, squash court, provision store, aerobics, party deck etc.	Possession date: Jul'19	4500 sq ft(4BHK+4T)	4 BHK	3,500 - 4,500 sq ft	₹ 2.63 Cr - ₹ 3.38 Cr	3, 4 BHK	42	
272	ZED Zone	ZED	Yelahanka	On Hold	ZED Builder has built up their excellent project in the Yelahanka region of Bangalore. The locality is well-settled with all kinds of facilities available within a kilometre like hospital, banking, ATM, petrol pump, bus station, school, play school, restaurant, and railway station school for higher secondary education, park, metro station etc. The project offers many amenities like security system, power backup, a garden and much more. The entire project is all set for moving in. The surrounding of the project is well-occupied with a naturist value. There is an availability of a lot of apartments in this project.	Possession date: Dec'18	1845 sq ft(3BHK+3T)	3 BHK	1,311 - 1,845 sq ft	₹ 55.06 L - ₹ 77.49 L	2, 3 BHK	117	
273	Legacy Salvador	Legacy Global Project	Yelahanka	Under Construction	Legacy Salvador has developed the best apartments in Yehlahanka region of Bengaluru. This project has the availability of premium apartments which are still in under construction stage. This is a designed residential area with the facility of 24 hours power backup facility, gym, club house, and much more. All required necessities like school, hospital, park, restaurant, bank, petrol pump, ATM, office complex, train station, metro station, play school, school for higher education, bus station etc are available in the neighbourhood. The total number of apartment which is offered by this project is plenty. The price of the apartments is based on the request value.	Possession date: Apr'20	3050 sq ft(5BHK+5T)	5 BHK	1,330 - 3,050 sq ft	₹ 75.81 L - ₹ 1.74 Cr	2, 3, 4, 5 BHK	117	RERA ID: PR/KN/170731/000877
274	Unicon North Brooks 46	Unicon Shelters	Yelahanka	Under Construction	Unicon Shelters is a well-known real estate group. They have completed several residential projects. Their upcoming project is North Brooks 46 located in Yelahanka, Bengaluru. The apartment is being constructed in a very ultra modern fashion and will be providing its residents with several amenities like a gym, a swimming pool, a children play area, a club house, 24*7 security etc. It is well connected to various parts of the city and all other civic and commercial establishments like banks, ATMs, schools colleges, railway stations, airports, bus stops are close by.	Possession date: Aug'19	2398 sq ft(3BHK+3T)	3 BHK	1,041 - 2,398 sq ft	₹ 46.84 L - ₹ 1.08 Cr	2, 3 BHK	169	RERA ID: PR/KN/170728/000068
275	Vajram Tiara	Vajram	Yelahanka	Under Construction	Vajram Tiara is a premium residential project by Vajram Group situated in the prime locality of North Bangalore on Yelahanka Main Road within BDA Limits. Effective planning and strong architectural concept had formed the basis of the project design which has eventually lead to less ground coverage and 70% of open space for landscape. Well thought out design of Apartments and Individual block has provided maximum daylight and natural cross ventilation. Each and every apartment has been thoughtfully designed with large spacious balconies providing relaxing experience for its occupants. The project is conveniently located near several schools, hospitals and shopping Malls.	Possession date: Jun'19	3531 sq ft(4BHK+4T + Servant Room)	4 BHK	1,899 - 3,531 sq ft	₹ 90.20 L - ₹ 1.68 Cr	3, 4 BHK	237	
276	Ajmera Lugaano	Ajmera	Yelahanka	On Hold	A premium housing project launched by Ajmera, Lugaano in Yelahanka, Bangalore is offering Apartment starting at Rs 21.81 lacs. It offers 1, 2, 3 BHK Apartment in Bangalore North. The project is Pre Launch project and possession in Dec 20. Among the many luxurious amenities that the project boasts are Skating Ring, Car Parking, Children's play area, Indoor Games, Sports Facility etc. The Apartment are available from 594 sqft to 1359 sqft at an attractive price points starting at @Rs 3,672 per sqft.	Possession date: Dec'20	1359 sq ft(3BHK+3T)	3 BHK	594 - 1,359 sq ft	₹ 22.72 L - ₹ 51.98 L	1, 2, 3 BHK	468	
